price,brand,color,storage,system,processor_type,resolution,size
23999,redmi,black,128,android,mediatek,Full HD,6.7
20999,oppo,green,128,android,mediatek,Full HD,6.5
13149,redmi,white,64,android,unknown,Full HD,6.4
21999,oneplus,blue,256,android,qualcomm,Full HD,6.4
3537,apple,blue,128,ios,apple,Full HD,5.4
5537,apple,gold,64,ios,apple,4K,5.5
9999,infinix,green,64,android,mediatek,Full HD,6.6
12999,samsung,green,128,android,qualcomm,HD,6.5
15990,vivo,black,64,android,qualcomm,Full HD,6.5
6999,motorola,white,16,android,mediatek,HD,5.0
10990,oppo,black,32,android,mediatek,HD,6.5
24463,samsung,purple,128,android,qualcomm,Full HD,6.7
7537,realme,green,256,android,qualcomm,2K,6.7
24463,apple,red,256,ios,apple,Full HD,6.7
10990,redmi,white,64,android,unknown,Full HD,6.5
17537,mi,black,128,android,qualcomm,Full HD,6.7
13990,oppo,red,32,android,mediatek,HD,6.2
14463,vivo,black,256,android,qualcomm,2K,6.8
6999,redmi,grey,32,android,qualcomm,HD,5.0
22990,oppo,black,64,android,mediatek,Full HD,6.2
19087,oneplus,green,128,android,unknown,Full HD,6.7
9499,redmi,green,128,android,mediatek,HD,6.5
31637,oneplus,black,128,android,unknown,Full HD,6.5
32537,oppo,blue,256,android,mediatek,Full HD,6.7
6499,motorola,green,64,android,unisoc,HD,6.5
9490,vivo,green,32,android,mediatek,HD,6.5
16999,redmi,black,64,android,mediatek,Full HD,6.5
23999,oneplus,grey,128,android,unknown,Full HD,6.4
7799,tecno,blue,64,android,unknown,HD,6.6
23999,vivo,gold,128,android,unknown,Full HD,6.4
12999,infinix,black,128,android,mediatek,Full HD,6.7
9499,oppo,gold,64,android,mediatek,HD,6.6
14999,infinix,black,64,android,mediatek,Full HD,6.7
25937,oneplus,silver,128,android,unknown,4K,6.6
28537,apple,red,64,ios,apple,HD,6.1
15999,infinix,grey,128,android,mediatek,Full HD,6.7
14990,vivo,purple,64,android,mediatek,HD,6.2
73,apple,gold,256,ios,apple,Full HD,6.1
22000,xiaomi,blue,128,android,unknown,4K,6.5
13999,mi,gold,128,android,qualcomm,Full HD,6.0
17499,oppo,blue,128,android,mediatek,HD,6.6
19999,redmi,blue,128,android,mediatek,Full HD,6.5
14999,redmi,black,64,android,qualcomm,Full HD,6.3
13499,infinix,green,128,android,mediatek,4K,6.6
13999,redmi,red,64,android,qualcomm,Full HD,6.3
32537,oppo,silver,256,android,mediatek,Full HD,6.7
30537,motorola,grey,128,android,qualcomm,Full HD,6.5
6499,infinix,blue,32,android,mediatek,HD,6.1
16200,samsung,blue,128,android,mediatek,HD,6.5
15790,redmi,green,128,android,unknown,Full HD,6.6
10999,infinix,blue,64,android,mediatek,Full HD,6.7
22537,realme,blue,256,android,mediatek,Full HD,6.7
16999,realme,white,128,android,mediatek,Full HD,6.4
19990,vivo,blue,128,android,qualcomm,Full HD,6.5
10999,realme,silver,32,android,mediatek,HD,6.5
12990,samsung,black,128,android,samsung,Full HD,6.6
10499,realme,blue,64,android,mediatek,HD,6.2
8999,tecno,blue,64,android,mediatek,HD,6.5
23990,mi,white,128,android,qualcomm,Full HD,6.7
23999,redmi,purple,128,android,mediatek,Full HD,6.7
18490,samsung,black,64,android,samsung,Full HD,6.6
15537,apple,silver,64,ios,apple,HD,4.7
16999,redmi,blue,128,android,qualcomm,Full HD,6.7
26927,apple,gold,512,ios,apple,Full HD,6.7
10537,oneplus,black,256,android,unknown,Full HD,6.7
6099,tecno,blue,32,android,unisoc,HD,6.6
10073,apple,gold,128,ios,apple,Full HD,6.1
11086,oneplus,green,256,android,unknown,2K,6.7
16990,oppo,blue,64,android,mediatek,HD,5.7
11499,infinix,blue,64,android,mediatek,4K,6.6
7299,motorola,blue,32,android,mediatek,HD,6.5
8998,redmi,red,32,android,unknown,HD,6.3
15390,vivo,white,128,android,qualcomm,Full HD,6.6
14499,realme,black,128,android,qualcomm,Full HD,6.3
8537,apple,blue,128,ios,apple,Full HD,6.1
29960,oneplus,green,128,android,unknown,Full HD,6.7
25000,realme,black,128,android,mediatek,4K,6.4
17999,realme,black,128,android,mediatek,Full HD,6.6
41990,oppo,gold,256,android,mediatek,Full HD,6.5
9299,redmi,green,64,android,mediatek,Full HD,6.6
32546,apple,red,128,ios,apple,HD,4.7
23537,samsung,black,128,android,qualcomm,Full HD,6.7
14990,oppo,black,128,android,qualcomm,Full HD,6.6
8149,redmi,black,64,android,unknown,HD,6.5
32537,oppo,blue,256,android,mediatek,Full HD,6.7
32546,apple,white,128,ios,apple,HD,4.7
12990,oppo,blue,32,android,mediatek,HD,6.2
11999,redmi,white,32,android,qualcomm,Full HD,6.3
13499,realme,black,64,android,mediatek,Full HD,6.5
21800,oneplus,blue,128,android,unknown,Full HD,6.6
15990,vivo,black,32,android,mediatek,HD,6.2
23837,apple,black,128,ios,apple,HD,6.1
6299,redmi,black,32,android,mediatek,HD,6.5
18990,vivo,black,64,android,qualcomm,HD,6.2
4464,apple,gold,128,ios,apple,4K,5.5
8490,tecno,blue,64,android,mediatek,4K,6.6
9499,tecno,blue,64,android,unknown,4K,6.8
15799,oppo,blue,128,android,mediatek,HD,6.5
14890,redmi,white,128,android,unknown,Full HD,6.7
28537,apple,black,64,ios,apple,HD,6.1
13990,samsung,black,128,android,samsung,Full HD,6.6
27172,apple,silver,256,ios,apple,Full HD,5.8
23636,apple,blue,16,ios,apple,HD,4.0
10999,redmi,black,32,android,qualcomm,Full HD,6.0
12749,redmi,black,64,android,qualcomm,Full HD,5.5
14999,redmi,blue,64,android,qualcomm,Full HD,6.3
32546,vivo,black,128,android,qualcomm,Full HD,6.4
14999,oppo,gold,64,android,mediatek,HD,6.6
31602,oneplus,green,128,android,unknown,4K,6.7
21172,apple,silver,64,ios,apple,Full HD,6.5
8999,realme,blue,32,android,unisoc,HD,6.5
27990,vivo,blue,128,android,mediatek,Full HD,6.4
15999,motorola,blue,128,android,mediatek,Full HD,6.5
20999,samsung,black,128,android,mediatek,Full HD,6.6
32537,oppo,silver,256,android,mediatek,Full HD,6.7
12999,vivo,gold,128,android,mediatek,Full HD,6.6
19864,apple,silver,256,ios,apple,Full HD,5.5
25856,oneplus,black,256,android,unknown,Full HD,6.6
15337,oneplus,black,256,android,unknown,Full HD,6.7
23463,samsung,green,256,android,qualcomm,Full HD,6.6
23537,xiaomi,blue,256,android,qualcomm,Full HD,6.7
6999,redmi,blue,32,android,qualcomm,HD,5.5
24990,vivo,blue,128,android,qualcomm,Full HD,6.4
31999,redmi,red,256,android,qualcomm,Full HD,6.4
14890,redmi,blue,128,android,mediatek,Full HD,6.5
13999,oppo,black,128,android,mediatek,HD,6.5
18499,redmi,white,128,android,mediatek,Full HD,6.4
9261,realme,blue,128,android,mediatek,HD,6.5
11999,realme,blue,128,android,qualcomm,HD,6.5
10990,oppo,blue,16,android,qualcomm,HD,5.2
14885,samsung,silver,128,android,qualcomm,4K,6.6
15999,redmi,gold,64,android,qualcomm,Full HD,6.3
6927,apple,silver,256,ios,apple,Full HD,6.7
24999,redmi,blue,128,android,qualcomm,Full HD,6.4
7999,infinix,blue,64,android,mediatek,HD,6.8
19999,samsung,purple,128,android,mediatek,4K,6.6
13980,redmi,white,64,android,mediatek,Full HD,6.4
14476,redmi,blue,128,android,unknown,Full HD,6.4
24999,samsung,black,128,android,unknown,4K,6.7
1463,apple,purple,256,ios,apple,Full HD,6.1
17999,redmi,blue,64,android,qualcomm,Full HD,6.3
23537,apple,silver,16,ios,apple,HD,4.7
19990,vivo,blue,128,android,mediatek,4K,6.4
3073,apple,gold,128,ios,apple,Full HD,6.7
6463,apple,red,256,ios,apple,Full HD,6.1
20990,vivo,blue,64,android,mediatek,4K,6.4
13999,samsung,blue,64,android,samsung,HD,6.5
8499,samsung,black,32,android,mediatek,HD,6.5
14775,samsung,blue,64,android,samsung,Full HD,6.4
12999,redmi,white,64,android,qualcomm,Full HD,6.3
13499,redmi,black,64,android,qualcomm,HD,6.0
13828,apple,silver,512,ios,apple,Full HD,6.5
9499,vivo,green,32,android,mediatek,HD,6.5
1172,apple,green,256,ios,apple,Full HD,6.1
27990,vivo,black,128,android,qualcomm,Full HD,6.4
10990,vivo,purple,32,android,qualcomm,HD,6.2
19990,oppo,black,128,android,mediatek,Full HD,6.4
17999,samsung,blue,128,android,qualcomm,HD,6.5
18990,vivo,purple,64,android,qualcomm,HD,6.2
16479,samsung,green,128,android,samsung,4K,6.6
16980,oppo,black,128,android,qualcomm,Full HD,6.5
27990,oppo,red,128,android,mediatek,Full HD,6.2
17691,oneplus,black,128,android,unknown,Full HD,6.6
9049,tecno,green,64,android,unknown,HD,6.5
12280,tecno,blue,64,android,mediatek,HD,6.6
3073,apple,silver,128,ios,apple,Full HD,6.7
8597,samsung,blue,32,android,qualcomm,HD,6.5
14463,samsung,black,256,android,qualcomm,Full HD,6.1
12999,samsung,black,64,android,samsung,HD,6.5
12499,infinix,green,64,android,mediatek,Full HD,6.7
23990,redmi,black,128,android,unknown,Full HD,6.7
15537,oneplus,black,256,android,unknown,4K,6.6
29999,motorola,blue,256,android,mediatek,Full HD,6.5
31999,samsung,black,128,android,qualcomm,Full HD,6.5
14999,mi,grey,32,android,qualcomm,Full HD,6.4
21999,oneplus,blue,256,android,qualcomm,Full HD,6.4
17999,redmi,white,128,android,mediatek,Full HD,6.5
14999,infinix,green,64,android,mediatek,HD,7.0
18990,samsung,grey,128,android,qualcomm,HD,6.6
25990,vivo,blue,128,android,mediatek,Full HD,6.4
24364,apple,grey,64,ios,apple,Full HD,5.8
19364,apple,gold,256,ios,apple,Full HD,5.5
26364,apple,blue,256,ios,apple,HD,6.1
3537,samsung,purple,128,android,unknown,Full HD,6.1
13999,infinix,blue,64,android,mediatek,Full HD,7.0
18490,redmi,white,128,android,unknown,Full HD,6.6
